"RepName","GapHeight","Subject","Behavior","Join","Leave","tstart_j","tstop_j","tstart_l","tstop_l","maxSliceR","Extend","SliceR_start_j","SliceR_stop_j","SliceR_start_l","SliceR_stop_l","gaplength_j","gaplength_latency","gaplength_l","latency_tojoin","traf_join_down","traf_join_up","time_spent","traf_leave_down","traf_leave_up"
"35_S15_T1","35","A1","Pausing",1,0,11.189,18.2,18.2,148.458333333333,4154,0,28,196,196,3323,27.7712164556213,27.7712164556213,22.4865421163683,7.011,0,0,130.258333333333,0.115155780180411,0.0767705201202738
"35_S15_T1","35","A1","Extension",1,0,11.189,18.2,NA,NA,4154,0,28,196,NA,NA,27.7712164556213,27.7712164556213,NA,7.011,0,0,NA,NA,NA
"35_S15_T1","35","A2","ChainBottom",0,0,50.94,61.937,NA,NA,4154,0,982,1246,NA,NA,20.8245123773585,20.8245123773585,NA,10.997,0,0,NA,NA,NA
"35_S15_T1","35","A2","Extension",0,0,50.94,61.937,NA,NA,4154,0,982,1246,NA,NA,20.8245123773585,20.8245123773585,NA,10.997,0,0,NA,NA,NA
"35_S15_T1","35","A3","ChainBottom",0,0,78.436,88.69,NA,NA,4154,0,1642,1888,NA,NA,24.1835233603239,24.1835233603239,NA,10.254,0,0,NA,NA,NA
"35_S15_T1","35","A3","Extension",0,0,78.436,88.69,NA,NA,4154,0,1642,1888,NA,NA,24.1835233603239,24.1835233603239,NA,10.254,0,0,NA,NA,NA
"35_S15_T1","35","A4","ChainBottom",0,0,94.935,108.441,NA,NA,4154,1,2038,2362,NA,NA,23.6491168307692,23.6491168307692,NA,13.506,0.14808233377758,0,NA,NA,NA
"35_S15_T1","35","A4","Extension",0,0,94.935,98.19,98.19,99.443,4154,1,2038,2116,2116,2146,24.1303144303797,24.1303144303797,24.09316,3.255,0,0,1.253,0,0
"35_S15_T1","35","A5","Pausing",1,1,101.941,108.438,108.438,111.94,4154,0,2206,2362,2362,2446,23.231996433121,23.231996433121,23.5269829411765,6.497,0.153917192550408,0,3.502,0,0.571102227298687
"35_S15_T1","35","A5","Extension",1,1,101.941,108.438,NA,NA,4154,0,2206,2362,NA,NA,23.231996433121,23.231996433121,NA,6.497,0.153917192550408,0,NA,NA,NA
