"Rep","time","mintime","chainlength","gaplength","from","to","step","time_adj"
"Chain3",370,0,96.910612167206,12.4552067729842,370,380,38,370
"Chain3",380,0,90.8692161909412,18.6621204472288,380,390,39,380
"Chain3",390,0,99.5588953348837,12.703483319954,390,400,40,390
"Chain3",400,0,97.1588887141758,16.0138372795511,400,410,41,400
"Chain3",410,0,106.138223829583,10.1793384257612,410,420,42,410
"Chain3",420,0,105.269255915189,11.7931359810648,420,430,43,420
"Chain3",430,0,100.220966126803,17.0897023164202,430,440,44,430
"Chain3",440,0,100.883036918723,16.3448726755108,440,450,45,440
"Chain3",450,0,102.786490445491,17.8345319573295,450,460,46,450
"Chain3",460,0,96.0002648283168,24.6207575745037,460,470,47,460
"Chain3",470,0,98.1519949020549,22.6345451987454,470,480,48,470
"Chain3",480,0,100.717519220743,19.7379854840979,480,490,49,480
"Chain3",490,0,97.9037183550851,22.7173040477353,490,500,50,490
"Chain3",500,0,93.434740509629,27.3517995911713,500,510,51,500
"Chain3",510,0,89.0485215131628,31.5725008896576,510,520,52,510
"Chain3",520,0,84.4967848187168,36.3725141310735,520,530,53,520
"Chain3",530,0,86.9795502884146,33.8069898123857,530,540,54,530
"Chain3",540,0,86.1519617985153,34.4690606043051,540,550,55,540
"Chain3",550,0,80.0278069732606,40.5932154295598,550,560,56,550
"Chain3",560,0,86.1105823740204,34.59319887779,560,570,57,560
"Chain3",570,0,81.2691897081096,39.5173503926907,570,580,58,570
"Chain3",580,0,86.9795502884146,33.6414721144059,580,590,59,580
"Chain3",590,0,87.9726564762937,32.6483659265267,590,600,60,590
"Chain3",600,0,91.9450812278103,28.6759411750102,600,610,61,600
"Chain3",610,0,84.0829905737671,36.5380318290533,610,620,62,610
"Chain3",620,0,81.6002251040693,39.1035561477411,620,630,63,620
"Chain3",630,0,86.0692029495254,34.9656136982447,630,640,64,630
"Chain3",640,0,85.7381675535657,35.1311313962245,640,650,65,640
"Chain3",650,0,85.1588556106362,35.793202188144,650,660,66,650
"Chain3",660,0,89.1312803621528,31.9035362856173,660,670,67,660
"Chain3",670,0,82.0140193490189,38.6897619027915,670,680,68,670
"Chain3",680,0,83.0071255368981,37.8621734128922,680,690,69,680
"Chain3",690,0,88.800244966193,31.8207774366274,690,700,70,690
"Chain3",700,0,86.1519617985153,34.634578302285,700,710,71,700
